Strain_rate,Test_type,Hydrogen_condition,Source,RA_morphology,RA_percent
4.48 ,SSRT,electrochemical,1-s2.0-S0360319925021731-main.pdf,,
,,,Hydrogen_embrittlement_properties_of_rapid_tempere (1).pdf,,
,SSRT,,1-s2.0-S0921509324008037-main.pdf,film,
,SSRT,,metals-10-01585-v2.pdf,,
,SSRT,,1-s2.0-S092150931630394X-main.pdf,film,
,SSRT,,10.1016_J.IJHYDENE.2014.06.079.pdf,blocky,9.0
,,,s11665-022-07118-3.pdf,film,
5.6 ,SSRT,,1-s2.0-S1005030225006395-main.pdf,film,
,,,1-s2.0-S0360319924001770-main.pdf,,
,,,Hydrogen_Embrittlement_Properties_of_Rapid_Tempere.pdf,,
10-4,,,2004.00085v1.pdf,blocky,
10,SSRT,electrochemical,s11665-022-07438-4.pdf,film,
1.39 ,SSRT,,Effects_of_Retained_Austenite_on_Hydrogen_Embrittl.pdf,blocky,
,SSRT,,materials-14-07752.pdf,,
,SSRT,,1-s2.0-S0360319913013451-main.pdf,film,
,SSRT,,metals-15-01342-v2.pdf,,
415,Notched,,2509.06323v2.pdf,,
13-,SSRT,,2211.10918v1.pdf,,
