title,abstract,year,authors,venue,doi,score
The Effect of NbC Precipitates on Hydrogen Embrittlement of Dual-Phase Steels,"New grades of dual-phase (DP) steels with ultimate tensile strength (UTS) up to 1500 MPa have been developed using a continuous annealing process. This study investigates the effects of over-aging temperature and NbC precipitates on the microstructure and hydrogen embrittlement of these DP steels. Increasing the over-aging temperature promotes carbide coarsening, which reduces tensile strength, but simultaneously stabilizes retained austenite by inhibiting martensite transformation and enhances ductility through the TRIP effect. Compared to the reference DP steel, the Nb-added DP steel exhibits further strength enhancement due to fine-grain strengthening and precipitation strengthening. Results from slow strain rate tensile (SSRT) and thermal desorption spectroscopy (TDS) tests demonstrate that the Nb-added DP steel possesses superior resistance to hydrogen embrittlement. This improvement is primarily attributed to the hydrogen trapping effect of NbC precipitates, complemented by their grain refinement capability.",2025,"['Wei Li', 'Kejia Qiang', 'Boyu Cao', 'Yu Tang', 'Fengcang Ma', 'Wei Li', 'Ke Zhang']",Metals,10.3390/met15121342,4
Hydrogen Embrittlement of a Manganese–aluminum High-strength Bainitic Steel for Railway Crossings,"The hydrogen embrittlement characteristics of a Mn–Al bainitic steel for railway crossings were studied by means of the slow strain rate test (SSRT), the delayed fracture test and X-ray diffraction (XRD) analysis. The binding energies and hydrogen diffusion barriers of an iron unit cell were tested separately with Al, Si and H, and were evaluated by the first principle calculation. The results showed that the hydrogen embrittlement decreased greatly with increased Al content. Microstructure examinations indicated that the content of retained austenite increased with increased Al content, which was as irreversible hydrogen traps and was not sensitive to hydrogen embrittlement. It is found that the characteristics of hydrogen embrittlement identified by SSRT and the delayed fracture test were different. From the first principle calculation, the binding energy of the iron lattice containing aluminum decreased less as compared to those of the cell containing silicon, but the diffusion barriers increased significantly.",2011,"['C. Zheng', 'B. Lv', 'Cheng Chen', 'Zhigang Yan', 'Fucheng Zhang', 'L. Qian']",,10.2355/ISIJINTERNATIONAL.51.1749,4
Effects of cryogenic and tempered treatment on the hydrogen embrittlement susceptibility of TRIP-780 steels,,2013,"['Xu Zhu', 'W. Li', 'Hong-Min Zhao', 'Xuejun Jin']",,10.1016/J.IJHYDENE.2013.05.113,1
Hydrogen trapping sites and hydrogen-induced cracking in high strength quenching & partitioning (Q&P) treated steel,,2014,"['Xu Zhu', 'W. Li', 'Hong-Min Zhao', 'Li Wang', 'Xuejun Jin']",,10.1016/J.IJHYDENE.2014.06.079,1
Mechanical Behaviors of Microalloyed TRIP-Assisted Annealed Martensitic Steels under Hydrogen Charging,"Transformation Induced Plasticity (TRIP)-assisted annealed martensitic (TAM) steel sheets with various microalloying additions such as niobium, vanadium, or titanium were prepared on laboratory scale and subjected to a double-quenching and austempering heat treatment cycle. Slow strain rate tensile (SSRT) was tested on the investigated TAM steels with and without hydrogen charging to reveal their tensile behaviors and hydrogen induced embrittlement effects. Microstructure observations by scanning electron microscope (SEM) are composed of a principal annealed martensitic matrix and 11.0–13.0% volume fraction of retained austenite, depending on the type of microalloying addition in the different steels. SSRT results show that these TRIP-assisted annealed martensitic steels under air media conditions combine high tensile strength (>1000 MPa) and good ductility (~25%), while under hydrogen charging condition, both tensile strength and ductility decrease where tensile strength ranges between 680 and 760 MPa, down from 1000–1100 MPa, and ductility loss ratio is between 78.8% and 91.1%, along with a total elongation of less than 5%. Hydrogen charged into steel matrix leads to the appearance of cleavage fractures, implying the occurrence of hydrogen induced embrittlement effect in TAM steels. Thermal hydrogen desorption results show that there are double-peak hydrogen desorption temperature ranges for these microalloyed steels, where the first peak corresponds to a high-density dislocation trapping effect, and the second peak corresponds to a hydrogen trapping effect exerted by microalloying precipitates. Thermal desorption analysis (TDS) in combination with SSRT results demonstrate that microalloying precipitates act as irreversible traps to fix hydrogen and, thus, retard diffusive hydrogen motion towards defects, such as grain boundaries and dislocations in microstructure matrix, and eventually reduce the hydrogen induced embrittlement tendency.",2021,"['Xiong-fei Yang', 'Hao Yu', 'Chenghao Song', 'Lili Li']",Materials,10.3390/ma14247752,4
"Enhancing the resistance to hydrogen embrittlement in bainitic steel via grain refinement, dislocation density reduction, and retained austenite stability improvement",,2025,"['Zhuanqin Liang', 'Hongguang Li', 'Qingchao Wang', 'Xiaowen Sun', 'Xinliang Gao', 'Sujuan Yuan', 'Zhinan Yang', 'Fucheng Zhang']",Journal of Materials Science &amp; Technology,10.1016/j.jmst.2025.04.070,2
Impact of intercritical annealing temperatures on the stability of retained austenite and hydrogen embrittlement resistance of 34MnB5Nb press-hardened steel,,2025,"['Saeed Jamal', 'Yangwei Wang', 'Jian Wang', 'Lintao Gui', 'M. Baig', 'Tahir Mehmood Bhatti', 'Fatima Shehzadi', 'Hongzhou Lu', 'Yan Zhao']",International journal of hydrogen energy,10.1016/j.ijhydene.2025.04.466,2
The role of retained austenite against hydrogen embrittlement and white etching area formation in bearing steel under dynamic loading,,2024,"['Ashutosh Panda', 'Linto Davis', 'P. Ramkumar', 'M. Amirthalingam']",International journal of hydrogen energy,10.1016/j.ijhydene.2024.01.155,2
Hydrogen Embrittlement Properties of Rapid Tempered High-Si Steel and Effects of the Carbide and Retained Austenite on Its Properties,,2024,"['Manami Sunako', 'Masataka Mizumoto', 'Azusa Ooi', 'Eiji Tada']",Tetsu to hagane,10.2355/tetsutohagane.tetsu-2024-036,2
Effects of temperature and pre-strain on hydrogen embrittlement of retained austenite-containing high-Ni steel and austenitic stainless steels,,2026,"['Makoto Kawamori', 'Kosuke Shibata', 'Ryuko Ishizuka', 'R. Yoda', 'Kosuke Umehara', 'Takanori Ito', 'Reina Kawakami', 'H. Nako', 'Yasuhito Takashima']",International journal of hydrogen energy,10.1016/j.ijhydene.2026.154219,2
