RA_percent,Strain,Source
18.2,0.966,RA_y_V_strain_x_wang.csv
17.5,0.945,RA_y_V_strain_x_wang.csv
14.2,3.18,RA_y_V_strain_x_wang.csv
14.6,3.24,RA_y_V_strain_x_wang.csv
13.0,5.56,RA_y_V_strain_x_wang.csv
13.3,5.54,RA_y_V_strain_x_wang.csv
10.6,7.84,RA_y_V_strain_x_wang.csv
9.67,7.86,RA_y_V_strain_x_wang.csv
8.64,10.2,RA_y_V_strain_x_wang.csv
11.0,10.2,RA_y_V_strain_x_wang.csv
7.89,12.4,RA_y_V_strain_x_wang.csv
8.45,12.5,RA_y_V_strain_x_wang.csv
4.3,10.2,RA_y_V_strain_x_wang.csv
2.74,10.1,RA_y_V_strain_x_wang.csv
4.25,7.83,RA_y_V_strain_x_wang.csv
5.09,7.83,RA_y_V_strain_x_wang.csv
4.8,5.55,RA_y_V_strain_x_wang.csv
5.12,5.55,RA_y_V_strain_x_wang.csv
7.46,3.25,RA_y_V_strain_x_wang.csv
9.29,3.2,RA_y_V_strain_x_wang.csv
16.8,0.904,RA_y_V_strain_x_wang.csv
17.3,0.905,RA_y_V_strain_x_wang.csv
19.2,0.02,RA_y_V_strain_x_kobayashi.csv
13.7,0.12,RA_y_V_strain_x_kobayashi.csv
21.6,0.17,RA_y_V_strain_x_kobayashi.csv
21.3,0.2,RA_y_V_strain_x_kobayashi.csv
13.3,0.0726,RA_y_V_strain_x_zhu.csv
9.72,3.02,RA_y_V_strain_x_zhu.csv
6.91,6.02,RA_y_V_strain_x_zhu.csv
6.37,8.97,RA_y_V_strain_x_zhu.csv
4.07,12.0,RA_y_V_strain_x_zhu.csv
1.38,15.7,RA_y_V_strain_x_zhu.csv
12.3,0.121,RA_y_V_strain_x_zhu.csv
8.71,3.02,RA_y_V_strain_x_zhu.csv
7.75,5.97,RA_y_V_strain_x_zhu.csv
6.37,8.03,RA_y_V_strain_x_zhu.csv
5.36,9.04,RA_y_V_strain_x_zhu.csv
3.83,12.0,RA_y_V_strain_x_zhu.csv
3.43,14.9,RA_y_V_strain_x_zhu.csv
2.52,17.7,RA_y_V_strain_x_zhu.csv
